"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"GRC",2001,12616.822022141133721922,6902.147462729895151836
"GRC",2002,5126.049313138564470150,843.208918734906519889
"GRC",2003,2562.535173611339773704,326.38333542433154699
"GRC",2004,6813.690617322463368678,984.852960008107650898
"GRC",2005,4180.68254174240936616,978.83077578313694027
"GRC",2006,7345.970169765286082238,3349.578529354638406469
"GRC",2007,46061.55695981900886883,37270.797628948055789936
"GRC",2008,21197.20768125511072300,14154.283383288915419380
"GRC",2009,6564.26725021832454290,2078.269231959776189439
"GRC",2010,7785.29902006556570978,3140.98361766771616238
"GRC",2011,6198.616501976002654634,2218.184777573041728460
"GRC",2012,13242.084540186171093179,7625.474679467853471783
"GRC",2013,5906.555994044078658300,3941.700390649101746422
"GRC",2014,3803.211728953801819525,1199.423825919440110326
"GRC",2015,3840.002977552394182944,1612.675069579287181104
"GRC",2016,6034.199903191728398375,3289.455943902875310274
"GRC",2017,8906.940785319359516925,5445.87907110406143874
"GRC",2018,7122.19261768317802935,2955.10123670425946685
"GRC",2019,7604.30181248361466372,3282.18544818931735251
"GRC",2020,5427.356199748660934481,2104.724221741242765731
"GRC",2021,49038.519208032767836064,45375.977195488045888775
"GRC",2022,9793.825040283477232615,5592.167715813753090807
"GRC",2023,46011.585330302169892280,0.0
